class,kmeans,fcn_resnet50,unet,unetpp,segnet,deeplabv3,pspnet,segformer
background,0.7391007814053672,0.8319104286682433,0.7897601780652944,0.7849888395944865,0.8328627994991125,0.8293977785090227,0.8411804765913864,0.8135545947004844
person,0.01885291507401944,0.6310151383124493,0.5067826630741902,0.5164942304000015,0.6265228135323128,0.6287052448559608,0.6560426983773926,0.5756019079980262
car,0.0,0.4319727209328906,0.2799862468707746,0.2601607345713745,0.3638965793818085,0.4375151219695433,0.4962184643927281,0.4072255959814569
bicycle,0.0,0.2388477843187744,0.018507487045575092,0.034028680391616294,0.25119995924054006,0.19792788383913784,0.31687149089264527,0.22519594250179503
dog,0.0,0.24397473286525068,0.055961061012573414,0.07554122920841704,0.20885531382766828,0.3099245032880207,0.4333721693793701,0.2994746779523106
cat,0.0,0.4828742056337722,0.22430344946607395,0.21868782229405087,0.4256174474995474,0.4795313349643863,0.5625266665908218,0.48240885531544847
