model,task,epoch,train_loss,train_cross_entropy,train_dice_loss,val_loss,train_mean_iou,train_dice,val_mean_iou,val_mean_iou_foreground,val_dice,val_pixel_accuracy,learning_rate,epoch_seconds,device_memory_mb,train_loss_classifier,train_loss_box_reg,train_loss_mask,train_loss_objectness,train_loss_rpn_box_reg,train_total,val_mask_ap,val_mask_ap50,val_mask_ap75
fcn_resnet50,semantic,1,0.416580337369442,0.3571836899280548,0.475976983833313,0.3182816013097763,0.5490822277927798,0.684911415293633,0.4775449748130991,0.3894156631103004,0.6156358906032386,0.9213636233398952,0.0001,125.50290458300151,534.998291015625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,2,0.3080519679069519,0.23266296550035476,0.38344096975326536,0.28790683752298357,0.523389015834625,0.6342400186808267,0.499142549893129,0.4139497970625752,0.6302378218201438,0.9299823125038779,0.0001,134.77789708320051,676.613525390625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,3,0.28193414416313173,0.2141561124563217,0.34971217622756956,0.2717693905234337,0.5918715360346992,0.692272682639579,0.4979415347223719,0.41316313205736604,0.6262960177479847,0.9270201752371647,0.0001,131.56059720786288,675.078125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,4,0.26237896708250047,0.1964802970945835,0.32827763757705686,0.27209580993652344,0.5815363388121686,0.7118369549589686,0.4780644114417687,0.3882123453355154,0.6099224317023887,0.9272287978520066,0.0001,132.56374254194088,675.078125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,5,0.25732775502204897,0.19511520413160324,0.3195403066635132,0.27526723915338513,0.5649486617523993,0.6979022194038021,0.4817366983595199,0.3935816065065901,0.6148347282051153,0.9260886170980214,0.0001,132.8240523331333,677.525390625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,6,0.2427080531001091,0.18160933818221092,0.30380676860809325,0.2593477901816368,0.70890216209127,0.8225305934897639,0.5100722013686562,0.4268194378299319,0.639151050127224,0.9302031971070425,0.0001,133.58180312509649,677.525390625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,7,0.23671706187725067,0.17796016460061073,0.29547395877838134,0.26904552870988846,0.6963698526888904,0.8115094941269034,0.4897088619334486,0.4023872194089039,0.620307049955198,0.9297226468688092,0.0001,134.06561716692522,677.663818359375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,8,0.22286299273967744,0.1666296780347824,0.27909630765914917,0.2635432118177414,0.6669800099648687,0.7850837621220733,0.5294622566980332,0.44967124926377994,0.6625443817585562,0.932741843049895,0.0001,136.52105304202996,677.663818359375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,9,0.21031499001979828,0.15686203496456147,0.2637679453849793,0.2833670350909233,0.6622156351414108,0.782194772521087,0.49014904268932685,0.40365337235624404,0.6191384628008488,0.927085736206019,0.0001,136.35523012513295,675.025390625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,10,0.21330320393443108,0.15635531116724014,0.270251096534729,0.2684380843639374,0.7195512570114714,0.8303893953548417,0.5171347939008998,0.4348584792113136,0.6523064685855096,0.9307369235524573,0.0001,137.17719737486914,675.275390625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,11,0.20624096647500992,0.15333524520993233,0.25914668798446655,0.26447342681884767,0.7172235299974576,0.8266291639061297,0.5355667975706593,0.4566379851153033,0.6664902741798843,0.9348347756925526,0.0001,133.73131429194473,675.275390625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,12,0.2004365516781807,0.14804064096212388,0.25283246297836304,0.27928933888673785,0.6806698647166938,0.7900251642703916,0.5170579000906572,0.43533044654596365,0.6466625753069354,0.9285494247370283,0.0001,133.27582220896147,677.663818359375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,13,0.1938063619852066,0.14245158413648606,0.24516113986968993,0.2670309361219406,0.7060528826342707,0.8205239680788492,0.5323845839287112,0.4533678575650345,0.6628516197631595,0.9323886394688604,0.0001,133.29264066601172,677.663818359375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,14,0.19124334735274315,0.1416207515358925,0.24086594343185425,0.2644767487049103,0.7412897703601525,0.8417671639462351,0.5331680651806461,0.45417775836189805,0.6606226867591444,0.9341006524467401,0.0001,135.32982049998827,677.663818359375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,15,0.18741077604293824,0.1388968423783779,0.23592470960617065,0.27859687340259554,0.7680917123285305,0.8634306570368779,0.5014129649694041,0.4161102094491863,0.6275585995913961,0.9325352615419955,0.0001,144.53505583293736,677.663818359375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,16,0.18715432674884797,0.1381435711681843,0.23616508283615112,0.2783462627530098,0.7328961794162753,0.8408386251887695,0.5112229696703796,0.4284857689148122,0.645262753570672,0.9293185383875663,0.0001,138.2490367500577,677.663818359375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fcn_resnet50,semantic,17,0.1835974433362484,0.13732093030810355,0.22987395658493043,0.2573378965258598,0.7579409030680363,0.85556231344561,0.5530692470801993,0.4774501845276701,0.6792059971604086,0.9370823106760897,0.0001,134.08500891597942,677.663818359375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
