model,task,pixel_accuracy,mean_iou,mean_iou_foreground,dice,precision,recall,boundary_precision,boundary_recall,boundary_f1,total_parameters,trainable_parameters,model_size_mb,checkpoint_size_mb,latency_ms,images_per_second,backbone,initialization
kmeans,traditional,0.8250282652285996,0.13851065488736516,0.001229083554831797,0.15271273643329666,0.5252265994205866,0.16710318803401783,0.5200169633831973,0.10476238429158398,0.12632561607989776,0,0,0.0016,0.0016,84.21803110232577,11.873941802141987,none,"none (unsupervised, fitted per image)"
fcn_resnet50,semantic,0.934899767430996,0.514133124190273,0.43121558179695896,0.64121959489067,0.6977269793600698,0.6085926088748085,0.5231323706419782,0.4420087094762684,0.4767658351218967,35310668,35310668,134.908,135.019,9.02288332930766,147.48121895988595,"ResNet50, output stride 8",torchvision FCN_ResNet50_Weights.COCO_WITH_VOC_LABELS_V1
unet,semantic,0.904730084679698,0.3710289142501368,0.26535713780575865,0.4685793615573723,0.5868319990557437,0.45621305013148444,0.3065612080576357,0.3344672776003605,0.3125501809224136,31037958,31037958,118.445,118.482,9.362231874838471,101.25676525529161,none (symmetric encoder-decoder),random (Kaiming)
unetpp,semantic,0.9039787319573196,0.3858027070923367,0.283334958473551,0.4902401080947693,0.5168092880344783,0.4763360156490862,0.29185101964297194,0.34839723336826806,0.31498358940999116,43966022,43966022,167.773,167.835,31.051911460235715,29.841430286501733,none (nested encoder-decoder),random (Kaiming)
segnet,semantic,0.927287424406871,0.5085631485716701,0.4259259804965314,0.6364782455604304,0.6667840481430738,0.6426454692808484,0.47148422980679155,0.471301186572012,0.4514924854968316,29472454,29472454,112.49,112.538,22.330135204829276,65.92813964609212,VGG16-BN encoder,ImageNet VGG16_BN_Weights.IMAGENET1K_V1 (encoder only)
deeplabv3,semantic,0.9392173969532506,0.5638022085472968,0.48996643073262536,0.6906873568059017,0.7291581090902222,0.6684479936938587,0.5151442758501373,0.45706623089872794,0.4805003112376786,41996364,41996364,160.422,160.544,11.920336040202528,116.49020263929495,"ResNet50, output stride 8, ASPP",torchvision DeepLabV3_ResNet50_Weights.COCO_WITH_VOC_LABELS_V1
pspnet,semantic,0.9469040396466469,0.625738866088749,0.5629644324168778,0.749698452134809,0.8138769019019466,0.7058420019313211,0.61693395821023,0.5027588886894315,0.5510353277040573,48946252,48946252,186.94,187.052,12.740236460231245,94.75696300924335,"ResNet50 dilated, output stride 8",ImageNet ResNet50_Weights.IMAGENET1K_V2 (backbone only)
segformer,semantic,0.9363803332301837,0.5825544316796435,0.5131821583120386,0.7108749346876934,0.7641330058279344,0.6791499809624185,0.5197432381118026,0.42824209628267024,0.467243595741587,3715686,3715686,14.176,14.257,2.9319591692183167,509.133754070565,MiT-B0 hierarchical transformer,nvidia/mit-b0 (ImageNet-1k pretrained encoder)
