class,kmeans,fcn_resnet50,unet,unetpp,segnet,deeplabv3,pspnet,segformer
background,0.8249185115500319,0.9287208361568436,0.8993877964720274,0.8981414501862659,0.921748988947364,0.9329810976206543,0.9396110344481046,0.929415798517668
person,0.0061454177741589846,0.7235891790192677,0.5915690831317132,0.6044062664072729,0.7084156865795918,0.7341313066904118,0.7597449856600945,0.7143227448111583
car,0.0,0.3031397680829342,0.21488345339889592,0.21993343527930198,0.31450313253225903,0.447512057657883,0.47225648404195575,0.41207368589316096
bicycle,0.0,0.25894913618225124,0.029473733771201903,0.03885268471776044,0.2730469084984135,0.25819356058532894,0.3462760092657219,0.2925977582016388
dog,0.0,0.2544723908644117,0.05341779984908214,0.10069806326807579,0.2227028149059593,0.324433196364791,0.4794061663821804,0.41596744250147955
cat,0.0,0.6159274348359298,0.43744161887790006,0.4527843426953436,0.6109613599664332,0.685562032364712,0.7571385167344363,0.7309491601527555
